"ID","Name","InChI","InChIKey","SMILES","Solubility","SD","Ocurrences","Group","MolWt","MolLogP","MolMR","HeavyAtomCount","NumHAcceptors","NumHDonors","NumHeteroatoms","NumRotatableBonds","NumValenceElectrons","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","RingCount","TPSA","LabuteASA","BalabanJ","BertzCT"
"B-553","metaldehyde (tetramer)","InChI=1S/C8H16O4/c1-5-9-6(2)11-8(4)12-7(3)10-5/h5-8H,1-4H3","GKKDCARASOJPNG-UHFFFAOYSA-N","CC1OC(C)OC(C)OC(C)O1","-2.8997","0.015149999999999997","2","G3","176.212","1.4504","42.18800000000002","12.0","4.0","0.0","4.0","0.0","72.0","0.0","1.0","1.0","1.0","36.92","72.7421955931041","2.450052921667673","99.01955000865388"
"B-554","ethyl isovalerate","InChI=1S/C7H14O2/c1-4-9-7(8)5-6(2)3/h6H,4-5H2,1-3H3","PPXUHEORWJQRHJ-UHFFFAOYSA-N","CCOC(=O)CC(C)C","-1.8135","0.0920636582943411","3","G5","130.18699999999998","1.5956000000000001","36.087999999999994","9.0","2.0","0.0","2.0","3.0","54.0","0.0","0.0","0.0","0.0","26.3","56.20397104375983","3.2711920488970017","86.91694057588533"
"B-556","2,4,6-collidine","InChI=1S/C8H11N/c1-6-4-7(2)9-8(3)5-6/h4-5H,1-3H3","BWZVCCNYKMEVEX-UHFFFAOYSA-N","Cc1cc(C)nc(C)c1","-0.5394","0.0","1","G1","121.18299999999999","2.00686","38.44800000000001","9.0","1.0","0.0","1.0","0.0","48.0","1.0","0.0","0.0","1.0","12.89","55.7458774436333","3.165670309917317","165.32984016148868"
"B-561","4-methyl-2-pentyl acetate","InChI=1S/C8H16O2/c1-6(2)5-7(3)10-8(4)9/h6-7H,5H2,1-4H3","CPIVYSAVIPTCCX-UHFFFAOYSA-N","CC(C)CC(C)OC(C)=O","-2.0451","0.0","1","G1","144.21399999999997","1.9841","40.68300000000001","10.0","2.0","0.0","2.0","3.0","60.0","0.0","0.0","0.0","0.0","26.3","62.56891315815644","3.4313807383393122","107.82521876648654"
"B-563","4-methylpyridine","InChI=1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3","FKNQCJSGGFJEIZ-UHFFFAOYSA-N","Cc1ccncc1","1.0309","0.0","1","G1","93.12899999999999","1.39002","28.973999999999993","7.0","1.0","0.0","1.0","0.0","36.0","1.0","0.0","0.0","1.0","12.89","43.01599321484008","3.0214653097240864","134.10736969541455"
"B-565","thiophenol","InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H","RMVRSNDYEFQCLF-UHFFFAOYSA-N","Sc1ccccc1","-2.1204","0.0","1","G1","110.18099999999997","1.9752999999999996","33.694","7.0","1.0","1.0","1.0","0.0","36.0","1.0","0.0","0.0","1.0","0.0","48.58646978289869","3.0214653097240864","134.10736969541455"
"B-566","3-methylpyridine","InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3","ITQTTZVARXURQS-UHFFFAOYSA-N","Cc1cccnc1","1.0309","0.0","1","G1","93.129","1.39002","28.973999999999993","7.0","1.0","0.0","1.0","0.0","36.0","1.0","0.0","0.0","1.0","12.89","43.01599321484008","3.0214653097240864","134.10736969541455"
"B-567","n-methylmorpholine","InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3","SJRJJKPEHAURKC-UHFFFAOYSA-N","CN1CCOCC1","0.995","0.0","1","G1","101.149","-0.05160000000000009","28.315999999999985","7.0","2.0","0.0","2.0","0.0","42.0","0.0","1.0","1.0","1.0","12.47","44.066567231597","2.1229179499593664","50.041843979966416"
"B-569","piperazine, 2-methyl-","InChI=1S/C5H12N2/c1-5-4-6-2-3-7-5/h5-7H,2-4H2,1H3","JOMNTHCQHJPVAZ-UHFFFAOYSA-N","CC1CNCCN1","0.6378","0.05109999999999998","2","G3","100.165","-0.4323000000000001","30.334399999999988","7.0","2.0","2.0","2.0","0.0","42.0","0.0","1.0","1.0","1.0","24.06","44.29291269910284","2.1229179499593664","48.041843979966416"
"B-570","2-methylpyrazine","InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3","CAWHJQAVHZEVTJ-UHFFFAOYSA-N","Cc1cnccn1","1.0263","0.0","1","G1","94.11699999999999","0.7850199999999998","26.76899999999999","7.0","2.0","0.0","2.0","0.0","36.0","1.0","0.0","0.0","1.0","25.78","42.2356411957866","3.0214653097240864","136.00750422530467"
"B-572","dibutyl sebacate","InChI=1S/C18H34O4/c1-3-5-15-21-17(19)13-11-9-7-8-10-12-14-18(20)22-16-6-4-2/h3-16H2,1-2H3","PYGXAGIECVVIOZ-UHFFFAOYSA-N","CCCCOC(=O)CCCCCCCCC(=O)OCCCC","-3.8955","1.443236982058069","3","G4","314.46600000000007","4.7938000000000045","88.67000000000007","22.0","4.0","0.0","4.0","15.0","130.0","0.0","0.0","0.0","0.0","52.60000000000001","135.49340163167324","3.2259727928316795","248.26072121928476"
"B-573","hexanedioic acid, bis(2-ethoxyethyl) ester","InChI=1S/C14H26O6/c1-3-17-9-11-19-13(15)7-5-6-8-14(16)20-12-10-18-4-2/h3-12H2,1-2H3","NJEMMCIKSMMBDM-UHFFFAOYSA-N","CCOCCOC(=O)CCCCC(=O)OCCOCC","-2.065","0.0","1","G1","290.356","1.7062","73.37200000000006","20.0","6.0","0.0","6.0","13.0","118.0","0.0","0.0","0.0","0.0","71.06","120.26072363310054","3.3244017748416343","228.0486833279507"
"B-574","3-hexyn-2-ol","InChI=1S/C6H10O/c1-3-4-5-6(2)7/h6-7H,3H2,1-2H3","IFCAMPHNVKBSTF-UHFFFAOYSA-N","CCC#CC(C)O","-0.4121","0.0","1","G1","98.14499999999997","0.7806","29.747799999999984","7.0","1.0","1.0","1.0","0.0","40.0","0.0","0.0","0.0","0.0","20.23","44.35742074386787","3.236502566584802","84.08847961525429"
"B-575","isobutyl vinyl ether","InChI=1S/C6H12O/c1-4-7-5-6(2)3/h4,6H,1,5H2,2-3H3","OZCMOJQQLBXBKI-UHFFFAOYSA-N","CC(C)COC=C","-1.5236","0.3098830776999999","2","G3","100.16099999999999","1.8025","30.986999999999984","7.0","1.0","0.0","1.0","3.0","42.0","0.0","0.0","0.0","0.0","9.23","44.98790379713521","2.8099823316091586","48.14170945007629"
"B-578","1,3-dibromopropane","InChI=1S/C3H6Br2/c4-2-1-3-5/h1-3H2","VEFLKXRACNJHOV-UHFFFAOYSA-N","BrCCCBr","-2.0747","0.0","1","G1","201.889","2.1663000000000006","32.20499999999999","5.0","0.0","0.0","2.0","2.0","32.0","0.0","0.0","0.0","0.0","0.0","49.20423046790548","2.19060968716425","12.36452797660028"
"B-580","2-pentene","InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3-","QMMOXUPEWRXHJS-HYXAFXHYSA-N","CC\C=C/C","-2.5384","0.0","1","G1","70.135","1.9725","25.10499999999999","5.0","0.0","0.0","0.0","1.0","30.0","0.0","0.0","0.0","0.0","0.0","33.50941645323172","2.622415807990217","27.019550008653873"
"B-581","n-butylamine","InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3","HQABUPZFAYXKJW-UHFFFAOYSA-N","CCCCN","1.1359","0.0","1","G1","73.139","0.7452000000000001","23.9624","5.0","1.0","1.0","1.0","2.0","32.0","0.0","0.0","0.0","0.0","26.02","33.17396806803209","2.19060968716425","11.119415478763749"
"B-582","ethylene cyanohydrin","InChI=1S/C3H5NO/c4-2-1-3-5/h5H,1,3H2","WSGYTJNNHPZFKR-UHFFFAOYSA-N","OCCC#N","1.1483","0.0","1","G1","71.07900000000001","-0.10762000000000005","17.3158","5.0","2.0","1.0","2.0","1.0","28.0","0.0","0.0","0.0","0.0","44.019999999999996","30.65594869028749","2.483699570591265","45.344977967946406"
"B-583","butanethiol","InChI=1S/C4H10S/c1-2-3-4-5/h5H,2-4H2,1H3","WQAQPCDUOCURKW-UHFFFAOYSA-N","CCCCS","-2.1792","0.0","1","G1","90.19099999999999","1.7163","28.76099999999999","5.0","1.0","1.0","1.0","2.0","32.0","0.0","0.0","0.0","0.0","0.0","38.9891440344211","2.19060968716425","11.119415478763749"
"B-585","ethanol, 2-hydrazino-","InChI=1S/C2H8N2O/c3-4-1-2-5/h4-5H,1-3H2","GBHCABUWWQUMAJ-UHFFFAOYSA-N","NNCCO","1.1186","0.0","1","G1","76.09899999999999","-1.5579999999999998","19.2759","5.0","3.0","3.0","3.0","2.0","32.0","0.0","0.0","0.0","0.0","58.28","30.758315795277905","2.19060968716425","15.119415478763749"
"B-586","2-methoxyethanol","InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3","XNWFRZJHXBZDAG-UHFFFAOYSA-N","COCCO","1.1186","0.0","1","G1","76.095","-0.37489999999999996","18.9618","5.0","2.0","1.0","2.0","2.0","32.0","0.0","0.0","0.0","0.0","29.46","31.37691423832566","2.19060968716425","12.36452797660028"
"B-592","sec-butylacetate","InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3","GJRQTCIYDGXPES-UHFFFAOYSA-N","CC(C)COC(C)=O","-1.2657","0.04364198513785883","3","G5","116.15999999999998","1.2055","31.470999999999982","8.0","2.0","0.0","2.0","2.0","48.0","0.0","0.0","0.0","0.0","26.3","49.83902892936324","3.0500782919131915","76.59772060569361"
"B-593","acetone, semicarbazone","InChI=1S/C4H9N3O/c1-3(2)6-7-4(5)8/h1-2H3,(H3,5,7,8)","HQDAJGNZGNZGCO-UHFFFAOYSA-N","CC(C)=NNC(N)=O","-0.2674","0.0","1","G1","115.136","0.050500000000000156","31.502099999999995","8.0","2.0","2.0","4.0","1.0","46.0","0.0","0.0","0.0","0.0","67.47999999999999","47.750810857778994","3.4467148844381015","114.45183036609208"
"B-594","ethyl decanoate","InChI=1S/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3","RGXWDWUGBIJHDO-UHFFFAOYSA-N","CCCCCCCCCC(=O)OCC","-4.1006","0.0","1","G1","200.32199999999997","3.6902000000000026","59.24300000000005","14.0","2.0","0.0","2.0","9.0","84.0","0.0","0.0","0.0","0.0","26.3","88.0286816157429","3.0148257844595356","132.28341890015258"
"B-595","diethyl sebacate","InChI=1S/C14H26O4/c1-3-17-13(15)11-9-7-5-6-8-10-12-14(16)18-4-2/h3-12H2,1-2H3","ONKUXPIBXRRIDU-UHFFFAOYSA-N","CCOC(=O)CCCCCCCCC(=O)OCC","-3.5091","0.0","1","G1","258.3579999999999","3.2334000000000023","70.20200000000006","18.0","4.0","0.0","4.0","11.0","106.0","0.0","0.0","0.0","0.0","52.60000000000001","110.03363317408676","3.162653055346669","201.8338811517707"
"B-596","isoamyl formate","InChI=1S/C6H12O2/c1-6(2)3-4-8-5-7/h5-6H,3-4H2,1-2H3","XKYICAQFSCFURC-UHFFFAOYSA-N","CC(C)CCOC=O","-1.5206","0.01319999999999999","2","G3","116.15999999999998","1.2055","31.470999999999982","8.0","2.0","0.0","2.0","4.0","48.0","0.0","0.0","0.0","0.0","26.3","49.83902892936323","2.814002148389726","59.54887502163469"
"B-597","2-methoxyethyl acetate","InChI=1S/C5H10O3/c1-5(6)8-4-3-7-2/h3-4H2,1-2H3","XLLIQLLCWZCATF-UHFFFAOYSA-N","COCCOC(C)=O","0.9276","0.0","1","G1","118.13199999999999","0.19590000000000019","28.508999999999986","8.0","3.0","0.0","3.0","3.0","48.0","0.0","0.0","0.0","0.0","35.53","48.58763204447351","2.822354554248032","70.07403392114696"
"B-599","1,4-dichlorobutane","InChI=1S/C4H8Cl2/c5-3-1-2-4-6/h1-4H2","KJDRSWPQXHESDQ-UHFFFAOYSA-N","ClCCCCCl","-0.92","0.0","1","G1","127.01400000000001","2.2442","30.673999999999992","6.0","0.0","0.0","2.0","3.0","38.0","0.0","0.0","0.0","0.0","0.0","48.44060982478272","2.3390923149762908","17.509775004326936"
"B-600","1,4-dichloro-2-butene(trans)","InChI=1S/C4H6Cl2/c5-3-1-2-4-6/h1-2H,3-4H2/b2-1+","FQDIANVAWVHZIR-OWOJBTEDSA-N","ClC/C=C/CCl","-2.1675","0.08299999999999996","2","G3","124.998","2.0202","30.57999999999999","6.0","0.0","0.0","2.0","2.0","36.0","0.0","0.0","0.0","0.0","0.0","47.75100679259846","2.7343859935615478","34.81274391313339"
"B-601","n-pentylamine","InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3","DPBLXKKOBLCELK-UHFFFAOYSA-N","CCCCCN","1.0597","0.0","1","G1","87.16600000000001","1.1353","28.57939999999999","6.0","1.0","1.0","1.0","3.0","38.0","0.0","0.0","0.0","0.0","26.02","39.538910182428694","2.3390923149762908","15.900134529890124"
